ip,weight,url
104.21.57.5,0,yadongschool.com
107.154.133.98,6,jikim.tv
216.58.192.78,0,www.youtube.com
104.21.51.77,0,jikimtv.com
74.125.137.94,0,www.google.co.kr
18.178.85.31,0,www.totojikim.com
185.210.145.73,3,majortoto.site
172.67.148.192,0,tentenb.com
104.21.48.172,0,frtoon68.com
104.21.81.135,0,juso58.com
104.21.68.72,21,manapang9.com
104.21.74.252,0,xn--bb0bw4mv4ddwc5wkn3lzkr.com
104.21.7.176,0,xn--o79a711bszdtua70d.com
104.21.15.79,0,圈娄林家.com
172.67.141.79,0,rve-a.com
52.192.238.214,0,modo11.com
18.178.147.215,0,wb-tt.com
18.178.212.159,0,ten-1056.com
104.21.55.83,0,mexppp.com
104.21.23.57,0,aone-45.com
107.154.77.30,0,b-time113.com
13.112.18.172,0,tg1005.com
172.67.143.138,0,an-29.com
182.23.208.138,0,soul-88.com
172.67.136.129,0,www.trust-toto.com
172.67.158.225,0,pandora-club.com
172.67.210.91,0,truemoa3.com
104.21.3.87,0,www.mango20.net
172.67.153.220,0,uuzoa16.com
104.21.32.29,0,webtoon.forward-links.com
104.21.87.173,0,mana.forward-links2.com
172.67.182.91,0,tv.forward-links.com
211.110.1.21,0,refice.kr
192.74.230.102,3,www.smdozen1.top
172.67.208.230,0,qsz43.com
151.101.66.133,0,linktr.ee
107.154.251.33,0,www.aazi519.com
134.122.147.6,4,tazotv23.com
104.21.56.212,0,mvp35.com
13.114.157.202,0,cns442.com
172.67.196.182,0,yhs63.com
13.231.169.8,0,znn36.com
202.239.26.175,3,tulbo.tv
202.239.26.182,0,sm-mp.com
74.125.137.105,0,www.google.com
216.58.192.110,0,chrome.google.com
107.154.77.63,0,conan-tv.com
104.21.43.24,0,streamk.org
172.67.208.130,2,gaktv77.com
110.76.141.23,0,open.kakao.com
124.156.123.97,0,www.goratv00.com
172.67.191.180,3,www.lovedolles.com
172.67.38.162,0,xn--hg3b191ba.2on.in
172.67.217.92,0,linkbom.net
52.192.75.117,0,www.mv1004tv.com
104.21.93.201,21,19red4.com
104.21.22.11,0,nma74.com
14.128.149.210,0,dhlok.com
104.128.228.194,0,xn--2e0bt8vbybvzrqcq0b.com
104.21.1.113,0,podo12.com
172.67.186.214,1,445jung2.com
104.21.21.145,0,t-back222.COM
210.183.63.194,3,kr2.ibe.kr
117.52.20.195,0,mib19.com
104.21.35.130,20,animart1.com
172.67.209.76,1,xn--bb0bw4mv4ddwc5wkn3lzkr.com
104.21.66.151,0,newmcj.com
172.67.209.59,0,aone-45.com
107.154.131.30,0,b-time113.com
104.21.47.4,0,an-29.com
104.21.34.97,0,pandora-club.com
172.67.130.131,13,www.mango20.net
104.21.64.31,2,aniweek.com
172.67.168.107,3,redmu.live
121.254.178.231,0,xn--tl3br2i87r.com
43.255.252.152,0,filemong.com
172.67.137.245,3,atime2.club
172.67.151.15,0,noticesite.me
104.21.51.147,0,linkk.club
23.225.152.143,0,hnq18.top
104.21.51.117,0,av-1.live
172.67.171.149,16,avboja3.com
104.21.16.232,0,bettingcure.com
104.21.7.182,0,avnori6.com
104.21.44.151,0,avnori1.com
104.21.234.89,4,bame36.net
104.21.29.101,0,tentenb.com
172.67.147.130,0,mr-week.com
104.21.82.147,0,nou4829.com
172.67.140.36,0,tototimes2.com
104.21.41.217,3,bamgosu16.com
172.67.154.85,0,ss-625.com
104.21.22.211,0,alling2.com
172.67.134.19,11,bamsora4.com
104.21.62.141,0,ayya88.com
172.67.154.170,0,cnn-454.com
172.67.211.70,0,kjz56.com
172.67.212.224,0,ww-789.com
45.60.17.75,0,mtt-8949.com
172.67.195.203,0,ss-842.com
54.199.114.17,0,in-but.com
34.98.99.30,0,www.dwt38.com
172.67.170.216,0,mx-t3.com
54.168.178.91,0,oncapan.com
104.21.15.135,1,cmtv24.com
199.34.228.53,0,cmtv24.weebly.com
104.21.72.228,4,ddalbooks25.com
172.67.158.174,0,nou4829.com
172.67.139.4,1,ddalclub8.com
172.67.220.39,4,ddalpark10.com
104.21.233.200,4,ddaltime43.com
104.21.37.72,4,ddrblr24.com
104.21.234.238,4,dogjoa36.net
172.67.170.249,0,dongyoungsang.club
104.21.77.130,17,gochu7.com
172.67.161.244,0,圈娄林家.com
