main_url,main_ip,connect_url,connect_ip,keywords,banner_count
1004hks.com,103.1.250.175,None,None,None,0
1004ses.com,172.67.162.96,None,None,None,0
19gum.co.kr,211.234.116.182,None,None,None,0
69bam2.me,104.21.93.168,None,None,None,0
69bam3.me,172.67.130.240,None,None,None,0
bamsarang1.me,172.67.189.32,None,None,None,0
69bam1.me,104.21.24.145,None,None,None,0
1004cube.com,172.67.222.24,None,None,None,0
bame.co.kr,106.249.25.84,None,None,None,0
69nuri.shop,185.107.56.208,None,None,None,0
afreecatv.com,218.38.31.230,None,None,None,0
1004snwo.com,52.197.21.169,None,None,None,0
bbga1.com,172.67.131.133,None,None,None,0
dojun1.com,172.67.128.21,None,None,None,0
hoxyna5.com,199.59.242.153,None,None,None,0
aone18.com,67.43.227.84,None,None,None,0
hoxyna5.net,162.210.195.123,None,None,None,0
gmtv3.com,172.67.209.242,None,None,None,0
goza1.com,172.67.185.142,None,None,None,0
fr-71.com,172.67.186.181,None,None,None,0
bp-5566.com,172.67.133.17,None,None,None,0
larvatv.com,183.111.199.227,None,None,None,0
longlongtv.net,104.21.36.58,None,None,None,0
kr18.sogirl.co,104.27.207.92,None,None,None,0
frz11.com,172.67.160.206,None,None,None,0
ming-ky.net,172.67.196.180,None,None,None,0
nb-rd.com,107.154.77.88,None,None,None,0
marlboro3.live,165.160.15.20,None,None,None,0
opgram23.com,18.180.136.134,None,None,None,0
hostinfo.cafe24.com,183.111.161.178,None,None,None,0
namedtoon58.com,104.26.14.51,None,None,None,0
moatv01.com,172.67.162.85,None,None,None,0
nb-fo.com,104.21.80.53,None,None,None,0
partner.rosetv.co.kr,220.73.161.31,None,None,None,0
play.sbs.co.kr,99.86.206.95,None,None,None,0
dhl1004.com,172.67.221.104,None,None,None,0
safe.ggongt.com,209.99.64.43,None,None,None,0
soul-88.com,182.23.208.138,None,None,None,0
sexbam11.me,104.21.49.211,None,None,None,0
sns-x3.com,104.21.78.238,None,None,None,0
sns-x5.com,172.67.216.158,None,None,None,0
ssongssong22.net,192.74.252.131,None,None,None,0
sns-a7.com,172.67.134.52,None,None,None,0
tsgirl.net,172.67.154.37,None,None,None,0
www.58tv.co.kr,222.239.176.254,None,None,None,0
www.1004mam.com,104.21.42.94,None,None,None,0
www.cast-aa.com,18.180.7.120,None,None,None,0
www.bo-zi21.net,172.67.213.85,None,None,None,0
www.gaogaoxing.com,203.245.24.16,None,None,None,0
www.ktv-tv10.org,172.67.184.240,None,None,None,0
www.ktv-tv8.org,172.67.220.69,None,None,None,0
www.kongdda1.net,172.67.201.217,None,None,None,0
www.ktv-tv11.org,172.67.222.169,None,None,None,0
www.ktv-kk4.net,172.67.195.121,None,None,None,0
www.ktv-tv9.org,172.67.217.64,None,None,None,0
www.ktv-tv12.org,172.67.139.73,None,None,None,0
www.ktv-tv13.org,172.67.215.84,None,None,None,0
www.smdozen1.top,192.74.230.102,win-yamato1.com,103.31.13.244,코드+최대+무료,4
www.smdozen1.top,192.74.230.102,www.aazi519.com,107.154.251.33,가입+스포츠+신규+국내+지급+포커+쿠폰+파워볼+신규가입+슬롯+CASINO,4
www.smdozen1.top,192.74.230.102,kkpp77.xyz,35.169.225.248,사이트+성인+구매,4
goguma.tv,118.107.15.2,refpa.top,83.147.204.15,게임+BET,2
tazotv23.com,134.122.147.6,mvp35.com,172.67.155.243,카지노+라이브+호텔+안전+이벤트+게임+사이트+최고+진행+호텔카지노+베팅+세계+시스템+클릭+포인트+이브+슬롯+CASINO,5
www.smdozen1.top,192.74.230.102,www.aazi519.com,107.154.251.33,가입+스포츠+신규+국내+지급+포커+쿠폰+파워볼+신규가입+슬롯+CASINO,4
goguma.tv,118.107.15.2,gogumaplayer.com,134.122.147.6,영상+배송,2
tazotv23.com,134.122.147.6,cns442.com,52.192.32.113,코드+가입+카지노+스포츠+이벤트+매충+다양+실시간+시간+추천,5
www.sexbam11.me,172.67.193.141,None,None,None,0
tazotv23.com,134.122.147.6,yhs63.com,172.67.196.182,카지노+이벤트+매충+다양,5
tazotv23.com,134.122.147.6,mvp35.com,172.67.155.243,카지노+이벤트+최고+진행,5
tazotv23.com,134.122.147.6,znn36.com,13.231.169.8,카지노+신규+메이저+이벤트+지급+최대+쿠폰+주말+추천+출석,5
www.mintelly.com,172.217.25.211,None,None,None,0
www.aazi519.com,107.154.251.33,None,None,None,0
www.ssultv.com,222.239.176.253,None,None,None,0
ww1.sinktv.com,91.195.240.136,None,None,None,0
www.xn--pq1bj6fu7a45dt3r.com,112.175.50.163,None,None,None,0
xn--qh3bx4o.net,172.67.134.190,None,None,None,0
yug-no.com,54.250.219.191,None,None,None,0
zess1.com,104.21.79.165,None,None,None,0
99zzz.net,172.67.214.204,None,None,None,0
animart1.com,172.67.222.144,xn--bb0bw4mv4ddwc5wkn3lzkr.com,172.67.209.76,코드+카지노+스포츠+배당+사이트+배팅+최고+인증+제한+공식,21
animart1.com,172.67.222.144,xn--o79a711bszdtua70d.com,172.67.187.246,코드+카지노+스포츠+배당+게임+최고+공식+무한,21
animart1.com,172.67.222.144,홀짝주소.com,172.67.161.244,전용+배팅+무제+제한+무제한+파워볼,21
animart1.com,172.67.222.144,shn-100.com,104.21.79.117,코드+가입+스포츠+라이브+가능+배팅+실시간+제재+시간+오버+단폴+중계+배팅가능+이브+크로스,21
animart1.com,172.67.222.144,modo11.com,54.248.67.96,코드+카지노+스포츠+실시간+제재+시간+모든,21
animart1.com,172.67.222.144,wb-bk.com,18.178.147.215,코드+카지노+스포츠+라이브+전용+고액+상한+호텔+국내+돌발+놀이터+해외+배당+천만+국내배당+돌발+천만원고액전용+스포츠상한+매출+해외+놀이터코드+이브+이터+BET,21
animart1.com,172.67.222.144,newmcj.com,104.21.66.151,매일,21
animart1.com,172.67.222.144,mexppp.com,172.67.146.88,코드+가입+스포츠+상한+업체+게임+매충+사이트+미니+환전+미니게임+무제+검증+제한+무제한+전무+상한가+완료+전문,21
animart1.com,172.67.222.144,aone-45.com,172.67.209.59,코드+가입+스포츠+게임+미니+제재+미니게임+무제+오버+핸디캡+루틴+각종,21
animart1.com,172.67.222.144,b-time113.com,107.154.131.30,코드+베팅,21
animart1.com,172.67.222.144,an-29.com,104.21.47.4,코드+가입+카지노+이벤트+진행+가지+자동+크로스,21
animart1.com,172.67.222.144,soul-88.com,182.23.208.138,카지노+라이브+호텔+게임+지급+미니+미니게임+매일+정식+이브+슬롯,21
animart1.com,172.67.222.144,www.trust-toto.com,104.21.26.144,코드+카지노+배당+매충+최고+실시간+시간+업계,21
animart1.com,172.67.222.144,pandora-club.com,104.21.34.97,스포츠+라이브+지급+머니+제휴+파워볼+중계+이브,21
animart1.com,172.67.222.144,truemoa3.com,172.67.196.187,먹튀+렌트+토렌트+웹툰+업소,21
atime2.club,104.21.78.230,noticesite.me,104.21.48.119,렌트+토렌트,4
animart1.com,172.67.222.144,www.mango20.net,104.21.3.87,사이트+총집합+야동,21
atime2.club,104.21.78.230,noticesite.me,104.21.48.119,티비,4
atime2.club,104.21.78.230,linkk.club,104.21.51.147,링크+모든,4
animart1.com,172.67.222.144,uuzoa16.com,104.21.72.186,사이트+업계+업소,21
aqstream.com,104.21.86.212,None,None,None,0
